super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v2,val_loss_v2,train_loss_v3,val_loss_v3,train_loss_v4,val_loss_v4
11,"v1,v3,v4,v2",44,44,44,44,0.0002561477866506942,15.93964397907257,12.005024790763855,0.10190900508314371,0.0005907946615479887,24.38665771484375,2.1135492715984583e-05,6.233127117156982,0.0004126608546357602,12.041274070739746,1.3770304341242934e-10,21.097517013549805
12,"v4,v2,v3,v1",48,48,48,48,6.468470631786939e-06,17.184119820594788,12.005024790763855,0.10271190595813096,1.191594822813613e-09,26.391754150390625,2.3580298147862777e-05,6.6993727684021,2.292346607646323e-06,12.911520957946777,4.61768158432907e-11,22.73383140563965
13,"v4,v3,v1,v2",52,52,52,52,0.0004119177866070932,17.927860021591187,12.005024790763855,0.10383289982564747,3.046717045318559e-11,27.580766677856445,8.835307380650192e-05,6.982365608215332,1.3168889836379094e-06,13.438652038574219,0.0015580011531710625,23.70965576171875
14,"v1,v2,v4,v3",56,56,56,56,4.137501417953576e-08,18.395252227783203,12.005024790763855,0.1043239738792181,1.5161379096628735e-12,28.324077606201172,1.6546931647098972e-07,7.16217041015625,1.1306736796834471e-11,13.772825241088867,1.791737244682956e-11,24.321935653686523
15,"v4,v1,v2,v3",60,60,60,60,0.0003598764349587659,18.592848658561707,12.005024790763855,0.10419607302173972,3.404856396826972e-09,28.631391525268555,0.0014395022299140692,7.241271495819092,1.0313393195016118e-10,13.919452667236328,1.9306656967588154e-12,24.57927894592285
16,"v3,v2,v4,v1",64,64,64,64,2.2627086461205207e-08,18.6180477142334,12.005024790763855,0.10687762591987848,3.263967915390076e-11,28.6605281829834,9.047563764852384e-08,7.256171226501465,5.086281229364515e-15,13.945807456970215,6.343086185424049e-14,24.609683990478516
17,"v2,v4,v1,v3",68,68,68,68,4.954818101018164e-09,18.62418293952942,12.005024790763855,0.10266361897811294,2.8188427286801598e-11,28.662322998046875,1.979077879354918e-08,7.262639999389648,2.7406112860887955e-13,13.956177711486816,3.112210806449113e-14,24.615591049194336
18,"v4,v2,v1,v3",72,72,72,72,2.0878984936665636e-12,18.620659112930298,12.005024790763855,0.10323839890770614,3.351466782049173e-13,28.65190315246582,7.235922364762226e-12,7.26406192779541,7.794840619322618e-13,13.957199096679688,1.0408697668489873e-15,24.609472274780273
19,"v1,v2,v4,v3",76,76,76,76,1.9560293760859927e-06,18.613780975341797,12.005024790763855,0.10123363300226629,2.8480308389422504e-12,28.637615203857422,2.18654712391686e-11,7.26339054107666,7.824092790542636e-06,13.95473575592041,2.992566343858259e-16,24.599382400512695
20,"v2,v1,v3,v4",80,80,80,80,1.790399193957402e-08,18.601882934570312,12.005024790763855,0.10289967991411686,5.505302702428494e-13,28.616201400756836,7.157959913683953e-08,7.260320663452148,3.5817918075942146e-11,13.94803237915039,1.731103601267377e-16,24.582977294921875
21,"v3,v4,v1,v2",84,84,84,84,7.706396124969822e-09,18.592745661735535,12.005024790763855,0.09974490897729993,8.78983199431322e-15,28.600099563598633,3.076001320323485e-08,7.257808208465576,3.785118052324066e-12,13.942644119262695,6.177738876012029e-11,24.570430755615234
22,"v3,v4,v1,v2",88,88,88,88,2.6907435889471585e-10,18.585591554641724,12.005024790763855,0.10111872781999409,1.6198092265282474e-14,28.5877685546875,1.4738857107444298e-13,7.255697250366211,1.076133848698646e-09,13.938233375549316,2.168777351728482e-19,24.560667037963867
